                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.1234,                 1.6788,                 2.5567,                0.73093,                0.62617,                0.74108,                0.30437,                 2.0166,                 1.8412,                 2.5873,              0.0013664,              0.0013664,              0.0013664
                     35,                 2.0375,                 1.6111,                 2.4254,                0.76546,                0.72897,                0.80476,                 0.3301,                   2.05,                 1.7779,                 2.6358,              0.0013466,              0.0013466,              0.0013466
                     36,                 2.2516,                 1.6614,                  2.524,                0.76123,                0.73832,                0.86662,                 0.4081,                 1.8558,                 1.5788,                 2.4329,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.1538,                 1.6868,                 2.5358,                0.83443,                0.80075,                0.86857,                0.36907,                 1.9281,                 1.6807,                 2.4416,               0.001307,               0.001307,               0.001307
                     38,                 2.0521,                 1.5955,                 2.4262,                 0.7377,                0.78857,                0.80869,                 0.3657,                  1.818,                  1.669,                 2.3707,              0.0012872,              0.0012872,              0.0012872
                     39,                 2.0567,                 1.6136,                 2.3841,                0.58102,                0.76465,                0.73309,                0.35685,                 1.8115,                 1.9279,                 2.3513,              0.0012674,              0.0012674,              0.0012674
                     40,                 2.0318,                 1.6554,                 2.4204,                0.61267,                0.63551,                0.67504,                0.27177,                  1.803,                 2.1351,                 2.4036,              0.0012476,              0.0012476,              0.0012476
                     41,                 2.0717,                 1.6497,                 2.4066,                0.63474,                0.62617,                0.63403,                0.23998,                 1.8571,                 1.9569,                 2.3984,              0.0012278,              0.0012278,              0.0012278
                     42,                 2.1349,                 1.7746,                 2.4447,                0.51669,                0.65421,                0.55922,                0.20469,                 1.8492,                 2.0517,                 2.4597,               0.001208,               0.001208,               0.001208
                     43,                 1.9889,                 1.6591,                 2.3642,                0.78881,                0.68224,                0.80034,                0.37058,                   1.79,                 1.7197,                 2.4668,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.8556,                 1.4599,                 2.2337,                0.74497,                0.52336,                0.57751,                0.25031,                 1.9884,                 2.2299,                 2.7285,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.9918,                 1.4907,                 2.3048,                0.60644,                0.46729,                0.49254,                0.22491,                 1.9518,                 2.3264,                 2.7142,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.9539,                 1.4192,                 2.3514,                0.59698,                0.65421,                0.66524,                0.30986,                 1.8026,                 1.9632,                 2.4425,              0.0011288,              0.0011288,              0.0011288
                     47,                 2.0226,                 1.4701,                 2.3238,                0.83283,                0.73832,                0.87923,                0.42168,                 1.7767,                 1.4564,                 2.3554,               0.001109,               0.001109,               0.001109
                     48,                 1.8619,                 1.4272,                 2.3333,                0.86254,                0.79439,                0.89724,                0.43165,                 1.8041,                 1.4987,                 2.3659,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.8548,                 1.3334,                 2.2209,                0.81632,                0.78505,                0.85272,                0.39258,                 1.8434,                 1.5303,                 2.4154,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.8663,                 1.3914,                 2.3321,                0.79873,                0.85981,                0.88958,                0.40133,                 1.8059,                 1.4725,                 2.3672,              0.0010496,              0.0010496,              0.0010496
                     51,                   1.87,                   1.44,                 2.2372,                0.89507,                0.86916,                0.94799,                0.50718,                 1.6619,                 1.3321,                 2.2202,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.9318,                  1.306,                 2.2455,                 0.8464,                0.88785,                0.92942,                0.42974,                 1.8028,                 1.4402,                  2.374,                0.00101,                0.00101,                0.00101
                     53,                 1.8372,                 1.3259,                 2.2516,                0.82804,                 0.8551,                0.91256,                0.37895,                 1.8866,                 1.5032,                 2.4325,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.8224,                 1.3105,                 2.2243,                0.85175,                0.80546,                0.88021,                0.38206,                 1.8113,                 1.4888,                 2.4175,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.8628,                 1.3265,                 2.2535,                0.82982,                0.86585,                0.88048,                0.45309,                 1.7124,                 1.4171,                 2.2799,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.9592,                  1.398,                 2.3191,                0.89486,                0.82243,                0.93326,                0.48565,                 1.7569,                 1.3019,                 2.3074,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.8734,                 1.2912,                 2.2761,                0.85518,                0.88305,                0.94583,                0.46077,                 1.7966,                 1.3318,                 2.3464,               0.000911,               0.000911,               0.000911
                     58,                 1.8572,                 1.4223,                 2.2295,                0.80884,                0.75134,                0.86896,                0.34644,                 1.8535,                 1.5418,                 2.3888,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.8215,                 1.3133,                 2.1988,                0.81597,                0.69159,                0.82176,                0.42605,                 1.6431,                 1.5687,                 2.2229,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.8463,                 1.2884,                 2.2096,                0.87571,                0.85607,                0.92494,                0.49889,                 1.6049,                 1.3258,                 2.1779,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.7463,                 1.2493,                 2.0789,                0.86715,                0.85409,                0.92165,                0.46521,                 1.6943,                 1.3165,                 2.2381,              0.0008318,              0.0008318,              0.0008318
                     62,                  1.774,                 1.2543,                 2.1555,                0.68099,                0.79802,                 0.8456,                0.43006,                 1.7347,                 1.4831,                 2.2485,               0.000812,               0.000812,               0.000812
                     63,                 1.7572,                 1.1812,                 2.0907,                0.85412,                0.79439,                0.89207,                0.42099,                  1.846,                 1.4003,                 2.3484,              0.0007922,              0.0007922,              0.0007922
