City,Price range per sqft,Avg price per sqft,Price rise
Mewat,-,-,-
West Godavari,"3,738 - 3,907 / sqft","3,822.59 / sqft",-
Thanjavur,-,-,-
Dera Bassi,"1,577 - 4,433 / sqft","3,740.06 / sqft",28%
Sri Ganganagar,-,-,-
Hoshangabad,"2,022 / sqft","2,22.47 / sqft",-
Beed,-,-,-
Haldwani,-,-,-
Bhiwadi,"1,000 - 5,685 / sqft","4,512.83 / sqft",-6%
Aruppukkottai,-,-,-
Bagpat,"2,727 / sqft","2,727.27 / sqft",-
Balotra,-,-,-
Berhampur,"3,636 / sqft","3,636.36 / sqft",-
Cuttak,-,-,-
Gadag,-,-,-
Gadarwara,-,-,-
Guruvayoor,"3,346 / sqft","3,346.46 / sqft",-
Hissar,-,-,-
Jalpaiguri,"3,333 / sqft","3,333.33 / sqft",-
Karwar,"4,119 / sqft","4,118.62 / sqft",-
Khambhat,-,-,-
Kulu Manali,-,-,-
Kumhari,-,-,-
Mahesana,-,-,-
Mussoorie,-,-,-
Patan,-,-,-
Prakasam,"2,000 - 3,800 / sqft","3,370 / sqft",-
Tiruvannamalai,"4,167 - 8,007 / sqft","7,871.55 / sqft",-
Tumkur,"2,615 / sqft","2,615.38 / sqft",-
Bagru,-,-,-
Buldana,-,-,-
Chhindwara,-,-,-
Adilabad,-,-,-
Amroha,-,-,-
Unnao,-,-,-
Bahraich,-,-,-
Bhatinda,-,-,-
Bharatpur,-,-,-
Bhiwani,-,-,-
Burhanpur,-,-,-
Saran,-,-,-
Davanagere,-,-,-
Dewas,-,-,-
Fatehpur,-,-,-
Guna,-,-,-
Jaunpur,-,-,-
Karimnagar,"2,672 / sqft","2,671.73 / sqft",-
Kasaragod,-,-,-
Khammam,"3,500 / sqft","3,500 / sqft",-
Khandwa,-,-,-
Malappuram,-,-,-
Morbi,"2,815 - 3,333 / sqft","3,74.07 / sqft",-
Katni,"35,000 / sqft","35,000 / sqft",-
Purnia,"5,000 / sqft","5,000 / sqft",-
Raichur,-,-,-
Rewa,-,-,-
Sagar,-,-,-
Satna,-,-,-
Shivpuri,-,-,-
Suryapet,"2,500 / sqft","2,500 / sqft",-
Thoothukudi,"1,000 / sqft","1,000 / sqft",-
Vizianagaram,"1,049 - 4,451 / sqft","3,751.84 / sqft",-
Yamunanagar,-,-,-
Dharuhera,"1,111 - 5,400 / sqft","3,56.7 / sqft",-56.6%
Jind,-,-,-
Kaithal,-,-,-
Mithapur,-,-,-
Rupnagar,-,-,-
Sitapur,-,-,-
Kushinagar,-,-,-
Bijapur,-,-,-
Gondia,-,-,-
Krishnagiri,-,-,-
Namakkal,-,-,-
Sivaganga,"3,835 / sqft","3,834.95 / sqft",-
Nilgiris,-,-,-
Thiruvananthapuram,"4,642 - 7,988 / sqft","7,8.79 / sqft",-
Jangaon,-,-,-
Sangareddy,-,-,-
Sirohi,"2,541 - 3,314 / sqft","2,927.94 / sqft",-
Aravalli,-,-,-
Dungarpur,-,-,-
Nagaur,"3,789 - 3,945 / sqft","3,867.21 / sqft",-
Tonk,-,-,-
Jalore,-,-,-
Hanumangarh,-,-,-
Himatnagar,"1,729 - 3,960 / sqft","3,750.83 / sqft",-
Gudivada,-,-,-
Dhar,-,-,-
Jagdalpur,-,-,-
Rajnandgaon,-,-,-
Chhota Udepur,-,-,-
Raisen,-,-,-
Morinda,-,-,-
Gondal,-,-,-
Mandsaur,-,-,-
Betul,-,-,-
Boranada,-,-,-
Surendranagar,-,-,-
Vidisha,-,-,-
Banaskantha,-,-,-
Amreli,-,-,-
Peddapalli,-,-,-
Chapra,-,-,-
Yadgir,-,-,-
Daman,"2,621 / sqft","2,620.97 / sqft",-
Karaikudi,-,-,-
Ramgarh,-,-,-
Rajgarh,-,-,-
Chhatarpur,-,-,-
Purba Medinipur,-,-,-
Saharsa,-,-,-
Vaishali,-,-,-
Chandauli,-,-,-
Bardhaman,"6,190 / sqft","6,190.48 / sqft",-
Darrang,-,-,-
Gurdaspur,-,-,-
Alipurduar,-,-,-
West Medinipur,"3,000 / sqft","3,000 / sqft",-
Damoh,-,-,-
Faridkot,-,-,-
Sangrur,-,-,-
Kapurthala,-,-,-
Bagalkot,-,-,-
Barwani,-,-,-
Khargone,-,-,-
Vyara,"2,002 / sqft","2,2.36 / sqft",-
Chittaranjan,-,-,-
Mancherial,-,-,-
Jagtial,-,-,-
Jorhat,-,-,-
Narsinghpur,-,-,-
Nagarkurnool,-,-,-
Harda,-,-,-
Agar,-,-,-
Seoni,-,-,-
