City,Price range per sqft,Avg price per sqft,Price rise
Solan,"143 - 17,000 / sqft","15,773.37 / sqft",56.4%
Jhajjar,"1,347 - 8,400 / sqft","8,56.48 / sqft",-88%
Bulandshahr,"444 - 13,734 / sqft","13,180.35 / sqft",372.3%
Ganjam,-,-,-
Bareilly,"100 - 63,559 / sqft","42,177.97 / sqft",244.8%
Moradabad,"333 - 19,333 / sqft","10,283.27 / sqft",169.9%
Almora,"150 - 8,969 / sqft","5,841.86 / sqft",-30.9%
Ratnagiri,"212 - 1,000 / sqft",796.73 / sqft,64.4%
Mandya,"270 - 3,125 / sqft","3,125 / sqft",-
Hubli Dharwad,"367 - 4,000 / sqft","4,000 / sqft",-87.2%
Krishna,"104 - 3,330 / sqft","2,684.45 / sqft",-
Valsad,"184 - 25,000 / sqft","22,267.97 / sqft",277.7%
Patiala,"287 - 11,733 / sqft","7,403.87 / sqft",22.7%
Rohtak,"1,111 - 21,648 / sqft","18,750.6 / sqft",15.5%
Bhavnagar,"1,786 / sqft","1,785.71 / sqft",67.1%
Rayagada,"2,000 / sqft","2,000 / sqft",-
Bharuch,"952 - 3,021 / sqft","1,986.68 / sqft",134.4%
Dausa,278 / sqft,277.78 / sqft,33.2%
Rishikesh,"123 - 80,714 / sqft","79,436.14 / sqft",-58.4%
Burdwan,"100 - 2,092 / sqft","1,877.91 / sqft",786.5%
Udham Singh Nagar,"103 - 4,394 / sqft","3,271.89 / sqft",138.1%
Shahjahanpur,"389 - 1,604 / sqft","1,312.1 / sqft",-
Muzaffarnagar,"545 - 4,994 / sqft","4,57.33 / sqft",-
Hisar,"33,331 / sqft","33,331 / sqft",261.8%
Sirsa,-,-,-90.5%
Chikkamagaluru,"1,150 - 1,375 / sqft","1,300 / sqft",-
Udupi,"670 - 47,486 / sqft","26,612.91 / sqft",-
Fatehabad,-,-,-
Sangli,"1,000 - 7,937 / sqft","6,20.4 / sqft",-26.2%
Raigarh,-,-,-9.3%
Parbhani,"1,600 - 3,667 / sqft","3,666.67 / sqft",-
Osmanabad,251 - 632 / sqft,536.43 / sqft,-
